Rk,Player,WAR/pos,WAA/pos,From,To,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,Tm
41,Jimmy Collins\colliji01,53.4,26.6,1895,1908,25-38,1725,7460,6795,1055,1999,352,116,65,983,426,,266,84,147,,,194,,.294,.343,.409,.752,*5/9H864,LOU-BSN-BOS-PHA
42,Earle Combs\combsea01,43.9,21.0,1924,1935,25-36,1455,6514,5746,1186,1866,309,154,58,633,670,,278,17,74,,,98,71,.325,.397,.462,.859,*87/H9,NYY
43,Roger Connor\connoro01,84.3,54.2,1880,1897,22-39,1998,8847,7797,1620,2467,441,233,138,1323,1002,,455,39,9,,,244,,.316,.397,.486,.883,*35/4879,TRO-NYG-NYI-PHI-STL
44,Sam Crawford\crawfsa01,75.3,34.9,1899,1917,19-37,2517,10625,9570,1391,2961,458,309,97,1523,760,,580,23,241,,,367,43,.309,.362,.452,.814,*9837/H,CIN-DET
45,Joe Cronin\cronijo01,64.1,33.6,1926,1945,19-38,2124,8840,7579,1233,2285,515,118,170,1424,1059,12,700,34,166,,57,87,71,.301,.390,.468,.857,*6H/5347,PIT-WSH-BOS
46,Kiki Cuyler\cuyleki01,47.0,21.5,1921,1938,22-39,1879,8100,7161,1305,2299,394,157,128,1065,676,,752,85,176,,53,328,27,.321,.386,.474,.860,987/H,PIT-CHC-CIN-BRO
47,George Davis\davisge01,84.7,48.4,1890,1909,19-38,2372,10186,9045,1545,2665,453,163,73,1440,874,,613,75,184,,,619,,.295,.362,.405,.767,*6584/93H71,CLV-NYG-CHW
48,Andre Dawson\dawsoan01,64.8,29.2,1976,1996,21-41,2627,10769,9927,1373,2774,503,98,438,1591,589,143,1509,111,24,118,217,314,109,.279,.323,.482,.806,98DH/7,MON-CHC-BOS-FLA
49,Ed Delahanty\delahed01,69.6,41.9,1888,1903,20-35,1837,8402,7510,1600,2597,522,186,101,1466,742,,439,94,54,,,456,,.346,.411,.505,.917,*7384/695,CLE-PHI-WSH
50,Bill Dickey\dickebi01,57.3,33.0,1928,1946,21-39,1789,7065,6300,930,1969,343,72,202,1209,678,26,289,31,51,,49,36,32,.313,.382,.486,.868,*2H,NYY
51,Joe DiMaggio\dimagjo01,79.1,55.6,1936,1951,21-36,1736,7672,6821,1390,2214,389,131,361,1537,790,74,369,46,14,,130,30,9,.325,.398,.579,.977,*8/79H3,NYY
52,Larry Doby\dobyla01,49.3,30.3,1947,1959,23-35,1533,6302,5348,960,1515,243,52,253,970,871,60,1011,38,20,25,97,47,36,.283,.386,.490,.876,*89/H7436,CLE-CHW-DET
53,Bobby Doerr\doerrbo01,51.1,26.8,1937,1951,19-33,1865,8030,7093,1094,2042,381,89,223,1247,809,43,608,11,115,,187,54,64,.288,.362,.461,.823,*4/H,BOS
54,Hugh Duffy\duffyhu01,43.1,18.0,1888,1906,21-39,1737,7842,7044,1554,2293,325,119,106,1302,664,,268,29,104,,,574,,.326,.386,.451,.837,879/64H532,CHC-CHI-BOS-BSN-MLA-PHI
55,Dennis Eckersley\eckerde01,-0.2,-0.2,1977,1997,22-42,218,196,181,9,24,3,0,3,12,9,0,84,0,5,1,1,0,0,.133,.173,.199,.372,*1/HD,CLE-CHC-OAK-STL
56,Johnny Evers\eversjo01,47.7,24.2,1902,1929,20-47,1784,7230,6137,919,1659,216,70,12,536,778,,293,39,256,,,324,26,.270,.356,.334,.690,*4/65H9,CHC-PHI-BSN-CHW
57,Buck Ewing\ewingbu01,48.0,28.5,1880,1897,20-37,1315,5772,5363,1129,1625,250,178,71,883,392,,294,9,8,,,354,,.303,.351,.456,.807,2395/46871,TRO-NYG-NYI-CLV-CIN
58,Rick Ferrell\ferreri01,31.1,7.2,1929,1947,23-41,1884,7076,6028,687,1692,324,45,28,734,931,23,277,10,103,,55,29,35,.281,.378,.363,.741,*2/H,SLB-BOS-WSH
